$Weekly temp data for Gates,
3554,13
3555,13.23125
3569,16.46875
3570,16.7
3576,13.6571428571429
3584,9.6
3585,9.68571428571429
3598,10.8
3610,5.7
3611,5.86428571428571
3624,8
3638,5.4
3639,3.6
3652,4.7375
