"","Julian_day","Constituent","Depth","Value","Elevation"
"104",118,"Specific Conductivity",8,130.1,111.17
"105",118,"Specific Conductivity",9,129,110.17
"106",118,"Specific Conductivity",10,129.5,109.17
"107",118,"Specific Conductivity",11,129.3,108.17
"108",118,"Specific Conductivity",12,129.1,107.17
"109",118,"Specific Conductivity",13,128.6,106.17
"110",118,"Specific Conductivity",14,128.4,105.17
"111",118,"Specific Conductivity",15,128.3,104.17
"112",118,"Specific Conductivity",15.9,128.7,103.27
"113",118,"Specific Conductivity",17,128.6,102.17
"114",118,"Specific Conductivity",17.9,128.9,101.27
"115",118,"Specific Conductivity",19,128.9,100.17
"116",118,"Specific Conductivity",20,129,99.17
"117",118,"Specific Conductivity",21,129.2,98.17
"118",118,"Specific Conductivity",22,129.3,97.17
"119",118,"Specific Conductivity",23,129.4,96.17
"120",118,"Specific Conductivity",24,128.4,95.17
"121",118,"Specific Conductivity",25,128.6,94.17
"122",118,"Specific Conductivity",26,128.9,93.17
"123",118,"Specific Conductivity",26.6,129.5,92.57
"124",118,"Specific Conductivity",26.6,129.1,92.57
"125",118,"Temperature",26.6,7.25,92.57
"126",118,"Temperature",26.6,7.25,92.57
"127",124,"Specific Conductivity",0.3,133.6,118.76
"128",124,"Specific Conductivity",1,133.2,118.06
"129",124,"Specific Conductivity",4,133.2,115.06
"130",124,"Specific Conductivity",5,133.1,114.06
"131",124,"Specific Conductivity",2,133.4,117.06
"132",124,"Specific Conductivity",3,133.2,116.06
"133",124,"Specific Conductivity",8,133.6,111.06
"134",124,"Specific Conductivity",9,133.6,110.06
"135",124,"Specific Conductivity",10,131.9,109.06
"136",124,"Specific Conductivity",11,131.3,108.06
"137",124,"Specific Conductivity",12,131.3,107.06
"138",124,"Specific Conductivity",13,131.3,106.06
"139",124,"Specific Conductivity",14,131.2,105.06
"140",124,"Specific Conductivity",15,132,104.06
"141",124,"Specific Conductivity",16,130.2,103.06
"142",124,"Specific Conductivity",17,129.6,102.06
"143",124,"Specific Conductivity",18,129.6,101.06
"144",124,"Specific Conductivity",6,133,113.06
"145",124,"Specific Conductivity",7,133,112.06
"146",124,"Specific Conductivity",21,129.3,98.06
"147",124,"Specific Conductivity",22,129.2,97.06
"148",124,"Specific Conductivity",23,129.1,96.06
"149",124,"Specific Conductivity",24,128.9,95.06
"150",124,"Specific Conductivity",25,128.8,94.06
"151",124,"Specific Conductivity",25.8,128.3,93.26
"152",124,"Temperature",6,12.4,113.06
"153",124,"Temperature",7,12.33,112.06
"154",124,"Temperature",8,11.72,111.06
"155",124,"Temperature",9,11.29,110.06
"156",124,"Temperature",10,10.6,109.06
"157",124,"Temperature",11,9.75,108.06
"158",124,"Temperature",12,9.29,107.06
"159",124,"Temperature",13,8.64,106.06
"160",124,"Temperature",14,8.24,105.06
"161",124,"Temperature",15,8.1,104.06
"162",124,"Temperature",16,7.89,103.06
"163",124,"Temperature",17,7.84,102.06
"164",124,"Temperature",18,7.77,101.06
"165",124,"Temperature",19,7.78,100.06
"166",124,"Temperature",20,7.65,99.06
"167",124,"Temperature",21,7.62,98.06
"168",124,"Temperature",22,7.57,97.06
"169",124,"Temperature",23,7.58,96.06
"170",124,"Temperature",24,7.53,95.06
"171",124,"Temperature",25,7.45,94.06
"172",124,"Temperature",25.8,7.42,93.26
"173",124,"Temperature",0.3,13.19,118.76
"174",124,"Temperature",1,13.11,118.06
"175",124,"Temperature",2,12.79,117.06
"176",124,"Temperature",3,12.69,116.06
"177",124,"Temperature",4,12.62,115.06
"178",124,"Temperature",5,12.46,114.06
"179",124,"Specific Conductivity",19,129.1,100.06
"180",124,"Specific Conductivity",20,129.3,99.06
"181",131,"Specific Conductivity",27,130.6,92.13
"182",131,"Specific Conductivity",29.6,130.3,89.53
"183",131,"Temperature",10,12.67,109.13
"184",131,"Specific Conductivity",28,130.9,91.13
"185",131,"Specific Conductivity",29,130.4,90.13
"186",131,"Specific Conductivity",21,131.7,98.13
"187",131,"Specific Conductivity",22,131.4,97.13
"188",131,"Specific Conductivity",23,131.4,96.13
"189",131,"Specific Conductivity",24,131.4,95.13
"190",131,"Specific Conductivity",25,131.1,94.13
"191",131,"Specific Conductivity",26,130.9,93.13
"192",131,"Specific Conductivity",0.3,134.3,118.83
"193",131,"Specific Conductivity",1,133.9,118.13
"194",131,"Specific Conductivity",2,133.9,117.13
"195",131,"Specific Conductivity",3,133.9,116.13
"196",131,"Specific Conductivity",4,133.7,115.13
"197",131,"Specific Conductivity",5,134.3,114.13
"198",131,"Specific Conductivity",6,134.7,113.13
"199",131,"Specific Conductivity",7,134.7,112.13
"200",131,"Specific Conductivity",8,135,111.13
"201",131,"Specific Conductivity",9,135.4,110.13
"202",131,"Specific Conductivity",10,134.5,109.13
"203",131,"Specific Conductivity",11,134.3,108.13
"204",131,"Specific Conductivity",12,134.5,107.13
"205",131,"Specific Conductivity",13,133.5,106.13
"206",131,"Specific Conductivity",14,133,105.13
"207",131,"Specific Conductivity",15,131.6,104.13
"208",131,"Specific Conductivity",16,131.7,103.13
"209",131,"Specific Conductivity",17,131.4,102.13
"210",131,"Specific Conductivity",18,132,101.13
"211",131,"Specific Conductivity",19,132,100.13
"212",131,"Specific Conductivity",20,131.8,99.13
"213",131,"Temperature",0.3,13.87,118.83
"214",131,"Temperature",1,13.88,118.13
"215",131,"Temperature",2,13.88,117.13
"216",131,"Temperature",3,13.87,116.13
"217",131,"Temperature",4,13.85,115.13
"218",131,"Temperature",5,13.81,114.13
"219",131,"Temperature",6,13.7,113.13
"220",131,"Temperature",7,13.64,112.13
"221",131,"Temperature",8,13.57,111.13
"222",131,"Temperature",9,13.5,110.13
"223",131,"Temperature",23,8.05,96.13
"224",131,"Temperature",11,12.01,108.13
"225",131,"Temperature",12,11.22,107.13
"226",131,"Temperature",13,10.82,106.13
"227",131,"Temperature",14,10.41,105.13
"228",131,"Temperature",15,9.19,104.13
"229",131,"Temperature",16,9.08,103.13
"230",131,"Temperature",17,8.55,102.13
"231",131,"Temperature",18,8.51,101.13
"232",131,"Temperature",19,8.41,100.13
"233",131,"Temperature",20,8.21,99.13
"234",131,"Temperature",21,8.16,98.13
"235",131,"Temperature",22,8.07,97.13
"236",131,"Temperature",27,7.76,92.13
"237",131,"Temperature",24,7.93,95.13
"238",131,"Temperature",25,7.88,94.13
"239",131,"Temperature",26,7.81,93.13
"240",131,"Temperature",28,7.71,91.13
"241",131,"Temperature",29,7.59,90.13
"242",131,"Temperature",29.6,7.56,89.53
"243",138,"Specific Conductivity",0.3,135.8,118.85
"244",138,"Temperature",0.3,14.69,118.85
"245",138,"Temperature",1,14.71,118.15
"246",138,"Temperature",2,14.72,117.15
"247",138,"Temperature",3,14.71,116.15
"248",138,"Temperature",4,14.71,115.15
"249",138,"Temperature",5,14.71,114.15
"250",138,"Temperature",6,14.7,113.15
"251",138,"Temperature",7,14.65,112.15
"252",138,"Temperature",8,13.32,111.15
"253",138,"Temperature",9,11.89,110.15
"254",138,"Temperature",10,10.59,109.15
"255",138,"Temperature",11,10.01,108.15
"256",138,"Temperature",12,9.56,107.15
"257",138,"Temperature",13,9.45,106.15
"258",138,"Temperature",14,9.16,105.15
"259",138,"Temperature",15.1,9.04,104.05
"260",138,"Temperature",16,8.98,103.15
"261",138,"Temperature",17,8.8,102.15
"262",138,"Temperature",18,8.66,101.15
"263",138,"Temperature",19,8.48,100.15
"264",138,"Temperature",20,8.43,99.15
"265",138,"Temperature",21,8.38,98.15
"266",138,"Temperature",22,8.33,97.15
"267",138,"Temperature",23,8.22,96.15
"268",138,"Temperature",24,8.14,95.15
"269",138,"Temperature",25,8.13,94.15
"270",138,"Temperature",26,8.07,93.15
"271",138,"Temperature",27,7.99,92.15
"272",138,"Temperature",28,7.93,91.15
"273",138,"Temperature",29,7.87,90.15
"274",138,"Specific Conductivity",10,134.6,109.15
"275",138,"Specific Conductivity",11,134.4,108.15
"276",138,"Specific Conductivity",12,134.2,107.15
"277",138,"Specific Conductivity",13,134.4,106.15
"278",138,"Specific Conductivity",14,133.6,105.15
"279",138,"Specific Conductivity",15.1,134,104.05
"280",138,"Specific Conductivity",16,133.9,103.15
"281",138,"Specific Conductivity",17,133,102.15
"282",138,"Specific Conductivity",18,132.5,101.15
"283",138,"Specific Conductivity",19,132,100.15
"284",138,"Specific Conductivity",20,131.9,99.15
"285",138,"Specific Conductivity",21,132.2,98.15
"286",138,"Specific Conductivity",22,132.2,97.15
"287",138,"Specific Conductivity",23,131.4,96.15
"288",138,"Specific Conductivity",24,131.2,95.15
"289",138,"Specific Conductivity",25,131.7,94.15
"290",138,"Specific Conductivity",26,131.1,93.15
"291",138,"Specific Conductivity",27,131.4,92.15
"292",138,"Specific Conductivity",28,130.8,91.15
"293",138,"Specific Conductivity",29,131.1,90.15
"294",138,"Specific Conductivity",3,135.8,116.15
"295",138,"Specific Conductivity",4,135.8,115.15
"296",138,"Specific Conductivity",5,135.8,114.15
"297",138,"Specific Conductivity",6,135.4,113.15
"298",138,"Specific Conductivity",7,135.7,112.15
"299",138,"Specific Conductivity",8,135.1,111.15
"300",138,"Specific Conductivity",9,135.4,110.15
"301",138,"Specific Conductivity",1,135.7,118.15
"302",138,"Specific Conductivity",2,135.1,117.15
"303",147,"Specific Conductivity",9,134.6,109.96
"304",147,"Specific Conductivity",10,133.9,108.96
"305",147,"Temperature",27,8.12,91.96
"306",147,"Temperature",28,8.07,90.96
"307",147,"Temperature",20,8.69,98.96
"308",147,"Temperature",20.9,8.48,98.06
"309",147,"Temperature",22,8.4,96.96
"310",147,"Temperature",23,8.41,95.96
"311",147,"Temperature",24,8.38,94.96
"312",147,"Temperature",25,8.28,93.96
"313",147,"Temperature",26,8.22,92.96
"314",147,"Temperature",0.4,17.56,118.56
"315",147,"Temperature",1,17.57,117.96
"316",147,"Temperature",2,17.56,116.96
"317",147,"Temperature",3,17.56,115.96
"318",147,"Temperature",4,17.56,114.96
"319",147,"Temperature",5,17.56,113.96
"320",147,"Temperature",6,16.56,112.96
"321",147,"Temperature",7,15.07,111.96
"322",147,"Temperature",8,13.67,110.96
"323",147,"Temperature",9,13.17,109.96
"324",147,"Temperature",10,13,108.96
"325",147,"Temperature",11,12.24,107.96
"326",147,"Temperature",12.1,11.3,106.86
"327",147,"Temperature",13,10.78,105.96
"328",147,"Temperature",14,10.24,104.96
"329",147,"Temperature",15,9.67,103.96
"330",147,"Temperature",16,9.44,102.96
"331",147,"Temperature",17,9.12,101.96
"332",147,"Temperature",18,8.88,100.96
"333",147,"Temperature",19,8.86,99.96
"334",147,"Specific Conductivity",0.4,137.2,118.56
"335",147,"Specific Conductivity",1,137.2,117.96
"336",147,"Specific Conductivity",2,137.2,116.96
"337",147,"Specific Conductivity",3,137.4,115.96
"338",147,"Specific Conductivity",4,136.7,114.96
"339",147,"Specific Conductivity",5,137,113.96
"340",147,"Specific Conductivity",6,134.8,112.96
"341",147,"Specific Conductivity",7,135.4,111.96
"342",147,"Specific Conductivity",8,134.9,110.96
"343",147,"Specific Conductivity",22,132.3,96.96
"344",147,"Specific Conductivity",23,131.6,95.96
"345",147,"Specific Conductivity",11,132.9,107.96
"346",147,"Specific Conductivity",12.1,131.8,106.86
"347",147,"Specific Conductivity",13,133.5,105.96
"348",147,"Specific Conductivity",14,133,104.96
"349",147,"Specific Conductivity",15,133.4,103.96
"350",147,"Specific Conductivity",16,133.2,102.96
"351",147,"Specific Conductivity",17,132.3,101.96
"352",147,"Specific Conductivity",18,132.8,100.96
"353",147,"Specific Conductivity",19,132.9,99.96
"354",147,"Specific Conductivity",20,132.5,98.96
"355",147,"Specific Conductivity",20.9,132.5,98.06
"356",147,"Specific Conductivity",26,131.8,92.96
"357",147,"Specific Conductivity",27,130.9,91.96
"358",147,"Specific Conductivity",24,132.2,94.96
"359",147,"Specific Conductivity",25,131.5,93.96
"360",147,"Specific Conductivity",28,131.2,90.96
"361",152,"Temperature",0.3,16.68,118.59
"362",152,"Temperature",1,16.67,117.89
"363",152,"Specific Conductivity",0.3,136.8,118.59
"364",152,"Specific Conductivity",1,136.2,117.89
"365",152,"Specific Conductivity",2,136.8,116.89
"366",152,"Specific Conductivity",3,136.2,115.89
"367",152,"Specific Conductivity",4,136.2,114.89
"368",152,"Specific Conductivity",5,136.3,113.89
"369",152,"Specific Conductivity",6,136.7,112.89
"370",152,"Specific Conductivity",7,136.8,111.89
"371",152,"Specific Conductivity",8,135.7,110.89
"372",152,"Specific Conductivity",9,134.6,109.89
"373",152,"Specific Conductivity",10,132.3,108.89
"374",152,"Specific Conductivity",11,132.3,107.89
"375",152,"Specific Conductivity",12,132.8,106.89
"376",152,"Specific Conductivity",13,133.5,105.89
"377",152,"Specific Conductivity",14,133.7,104.89
"378",152,"Specific Conductivity",15,132.9,103.89
"379",152,"Specific Conductivity",16,132.9,102.89
"380",152,"Specific Conductivity",17,133.3,101.89
"381",152,"Specific Conductivity",18,133.2,100.89
"382",152,"Specific Conductivity",19,132.6,99.89
"383",152,"Specific Conductivity",20,132.5,98.89
"384",152,"Specific Conductivity",21,132.4,97.89
"385",152,"Specific Conductivity",22,132.6,96.89
"386",152,"Specific Conductivity",23.1,132.8,95.79
"387",152,"Specific Conductivity",24,132.5,94.89
"388",152,"Specific Conductivity",25,132,93.89
"389",152,"Specific Conductivity",26,132.3,92.89
"390",152,"Specific Conductivity",27,132.2,91.89
"391",152,"Specific Conductivity",28,131.5,90.89
"392",152,"Temperature",8,15.8,110.89
"393",152,"Temperature",9,14.09,109.89
"394",152,"Temperature",10,11.72,108.89
"395",152,"Temperature",11,10.95,107.89
"396",152,"Temperature",12,10.25,106.89
"397",152,"Temperature",13,9.76,105.89
"398",152,"Temperature",14,9.47,104.89
"399",152,"Temperature",15,9.26,103.89
"400",152,"Temperature",16,9.19,102.89
"401",152,"Temperature",17,9.1,101.89
"402",152,"Temperature",18,9.01,100.89
"403",152,"Temperature",19,8.74,99.89
"404",152,"Temperature",20,8.64,98.89
"405",152,"Temperature",21,8.6,97.89
"406",152,"Temperature",22,8.57,96.89
"407",152,"Temperature",23.1,8.51,95.79
"408",152,"Temperature",24,8.3,94.89
"409",152,"Temperature",25,8.27,93.89
"410",152,"Temperature",26,8.25,92.89
"411",152,"Temperature",27,8.24,91.89
"412",152,"Temperature",28,8.19,90.89
"413",152,"Temperature",2,16.65,116.89
"414",152,"Temperature",3,16.54,115.89
"415",152,"Temperature",4,16.47,114.89
"416",152,"Temperature",5,16.44,113.89
"417",152,"Temperature",6,16.43,112.89
"418",152,"Temperature",7,16.4,111.89
"419",159,"Specific Conductivity",27,132.5,91.81
"420",159,"Specific Conductivity",28,132.1,90.81
"421",159,"Temperature",8,13.56,110.81
"422",159,"Temperature",9,12.33,109.81
"423",159,"Temperature",10,11.35,108.81
"424",159,"Temperature",11,10.8,107.81
"425",159,"Temperature",12,10.49,106.81
"426",159,"Specific Conductivity",21,132.6,97.81
"427",159,"Specific Conductivity",22,132.1,96.81
"428",159,"Specific Conductivity",23,132.3,95.81
"429",159,"Specific Conductivity",24,132.1,94.81
"430",159,"Specific Conductivity",25,132.1,93.81
"431",159,"Specific Conductivity",26,132.1,92.81
"432",159,"Specific Conductivity",0.2,137.6,118.61
"433",159,"Specific Conductivity",1,137.7,117.81
"434",159,"Specific Conductivity",2,137.7,116.81
"435",159,"Specific Conductivity",3,137.7,115.81
"436",159,"Specific Conductivity",4,136,114.81
"437",159,"Specific Conductivity",5,135.7,113.81
"438",159,"Specific Conductivity",6,132.7,112.81
"439",159,"Specific Conductivity",7,126,111.81
"440",159,"Specific Conductivity",8,123.2,110.81
"441",159,"Specific Conductivity",9,122.5,109.81
"442",159,"Specific Conductivity",10,122,108.81
"443",159,"Specific Conductivity",11,123.3,107.81
"444",159,"Specific Conductivity",12,129.5,106.81
"445",159,"Specific Conductivity",13,130,105.81
"446",159,"Specific Conductivity",14,130.7,104.81
"447",159,"Specific Conductivity",15,131,103.81
"448",159,"Specific Conductivity",16,131.2,102.81
"449",159,"Specific Conductivity",17,131.8,101.81
"450",159,"Specific Conductivity",18,132,100.81
"451",159,"Specific Conductivity",19,132.1,99.81
"452",159,"Specific Conductivity",20,132.4,98.81
"453",159,"Temperature",0.2,19.61,118.61
"454",159,"Temperature",1,19.62,117.81
"455",159,"Temperature",2,19.62,116.81
"456",159,"Temperature",3,19.6,115.81
"457",159,"Temperature",4,18.61,114.81
"458",159,"Temperature",5,17.5,113.81
"459",159,"Temperature",6,16.47,112.81
"460",159,"Temperature",7,13.89,111.81
"461",159,"Temperature",21,8.69,97.81
"462",159,"Temperature",22,8.72,96.81
"463",159,"Temperature",23,8.66,95.81
"464",159,"Temperature",24,8.54,94.81
"465",159,"Temperature",25,8.53,93.81
"466",159,"Temperature",13,10.33,105.81
"467",159,"Temperature",14,9.84,104.81
"468",159,"Temperature",15,9.36,103.81
"469",159,"Temperature",16,9.17,102.81
"470",159,"Temperature",17,9.11,101.81
"471",159,"Temperature",18,9.01,100.81
"472",159,"Temperature",19,8.85,99.81
"473",159,"Temperature",20,8.82,98.81
"474",159,"Temperature",26,8.5,92.81
"475",159,"Temperature",27,8.38,91.81
"476",159,"Temperature",28,8.36,90.81
"477",166,"Specific Conductivity",0.3,135.7,118.61
"478",166,"Specific Conductivity",4,135.9,114.91
"479",166,"Specific Conductivity",1,135.4,117.91
"480",166,"Specific Conductivity",2,135.8,116.91
"481",166,"Specific Conductivity",3,135.6,115.91
"482",166,"Temperature",0.3,18.5,118.61
"483",166,"Temperature",1,18.55,117.91
"484",166,"Temperature",2,18.56,116.91
"485",166,"Temperature",3,18.54,115.91
"486",166,"Temperature",4,18.53,114.91
"487",166,"Temperature",5,18.15,113.91
"488",166,"Temperature",6,16.25,112.91
"489",166,"Temperature",7,15.2,111.91
"490",166,"Temperature",8,13.53,110.91
"491",166,"Temperature",9,12.16,109.91
"492",166,"Temperature",10,11.69,108.91
"493",166,"Temperature",11,11.42,107.91
"494",166,"Temperature",12,10.94,106.91
"495",166,"Temperature",13,10.62,105.91
"496",166,"Temperature",14,10,104.91
"497",166,"Temperature",15,9.51,103.91
"498",166,"Temperature",16,9.55,102.91
"499",166,"Temperature",17,9.44,101.91
"500",166,"Temperature",18,9.14,100.91
"501",166,"Temperature",19,8.97,99.91
"502",166,"Temperature",20,8.91,98.91
"503",166,"Temperature",21,8.83,97.91
"504",166,"Temperature",22,8.75,96.91
"505",166,"Temperature",23,8.7,95.91
"506",166,"Temperature",24,8.66,94.91
"507",166,"Temperature",25,8.66,93.91
"508",166,"Temperature",26,8.61,92.91
"509",166,"Temperature",27,8.52,91.91
"510",166,"Temperature",28,8.48,90.91
"511",166,"Temperature",29,8.47,89.91
"512",166,"Specific Conductivity",10,105.7,108.91
"513",166,"Specific Conductivity",11,113.4,107.91
"514",166,"Specific Conductivity",12,121.7,106.91
"515",166,"Specific Conductivity",13,125.6,105.91
"516",166,"Specific Conductivity",14,129.9,104.91
"517",166,"Specific Conductivity",15,132.1,103.91
"518",166,"Specific Conductivity",16,131.9,102.91
"519",166,"Specific Conductivity",17,131.7,101.91
"520",166,"Specific Conductivity",18,132.6,100.91
"521",166,"Specific Conductivity",19,132.7,99.91
"522",166,"Specific Conductivity",20,132.1,98.91
"523",166,"Specific Conductivity",21,132.1,97.91
"524",166,"Specific Conductivity",22,131.9,96.91
"525",166,"Specific Conductivity",23,132.5,95.91
"526",166,"Specific Conductivity",24,132.4,94.91
"527",166,"Specific Conductivity",25,132,93.91
"528",166,"Specific Conductivity",26,132.6,92.91
"529",166,"Specific Conductivity",27,132.1,91.91
"530",166,"Specific Conductivity",28,132.7,90.91
"531",166,"Specific Conductivity",29,131.9,89.91
"532",166,"Specific Conductivity",7,131.7,111.91
"533",166,"Specific Conductivity",8,121.6,110.91
"534",166,"Specific Conductivity",5,135.3,113.91
"535",166,"Specific Conductivity",6,132.2,112.91
"536",166,"Specific Conductivity",9,109.3,109.91
"537",187,"Temperature",21,8.86,98.39
"538",187,"Temperature",22,8.77,97.39
"539",187,"Temperature",28,8.45,91.39
"540",187,"Temperature",29,8.41,90.39
"541",187,"Temperature",30,8.39,89.39
"542",187,"Temperature",31,8.37,88.39
"543",187,"Specific Conductivity",12,110.6,107.39
"544",187,"Specific Conductivity",13,116.8,106.39
"545",187,"Specific Conductivity",14,125.3,105.39
"546",187,"Specific Conductivity",15,128.1,104.39
"547",187,"Temperature",23,8.77,96.39
"548",187,"Temperature",24,8.7,95.39
"549",187,"Temperature",25,8.6,94.39
"550",187,"Temperature",26,8.55,93.39
"551",187,"Temperature",27,8.53,92.39
"552",187,"Temperature",0.1,20.64,119.29
"553",187,"Temperature",1,20.3,118.39
"554",187,"Temperature",2,20.24,117.39
"555",187,"Temperature",3,20.23,116.39
"556",187,"Temperature",4,20.22,115.39
"557",187,"Temperature",5,20.21,114.39
"558",187,"Temperature",6,20.14,113.39
"559",187,"Temperature",7,17.41,112.39
"560",187,"Temperature",8,14.45,111.39
"561",187,"Temperature",10,12.78,109.39
"562",187,"Temperature",11,12.32,108.39
"563",187,"Temperature",12,11.86,107.39
"564",187,"Temperature",13,11.31,106.39
"565",187,"Temperature",14,10.44,105.39
"566",187,"Temperature",15,10,104.39
"567",187,"Temperature",16,9.54,103.39
"568",187,"Temperature",17,9.27,102.39
"569",187,"Temperature",18,9.19,101.39
"570",187,"Temperature",19,9.17,100.39
"571",187,"Temperature",20,9.04,99.39
"572",187,"Specific Conductivity",0.1,148,119.29
"573",187,"Specific Conductivity",1,146,118.39
"574",187,"Specific Conductivity",2,148.5,117.39
"575",187,"Specific Conductivity",3,147,116.39
"576",187,"Specific Conductivity",4,146.3,115.39
"577",187,"Specific Conductivity",5,145.8,114.39
"578",187,"Specific Conductivity",6,145.1,113.39
"579",187,"Specific Conductivity",7,136.4,112.39
"580",187,"Specific Conductivity",8,120.4,111.39
"581",187,"Specific Conductivity",10,111.2,109.39
"582",187,"Specific Conductivity",11,107.2,108.39
"583",187,"Specific Conductivity",25,133.9,94.39
"584",187,"Specific Conductivity",26,133.7,93.39
"585",187,"Specific Conductivity",27,133.6,92.39
"586",187,"Specific Conductivity",28,133.3,91.39
"587",187,"Specific Conductivity",16,132.8,103.39
"588",187,"Specific Conductivity",17,134.2,102.39
"589",187,"Specific Conductivity",18,134.8,101.39
"590",187,"Specific Conductivity",19,134,100.39
"591",187,"Specific Conductivity",20,134.1,99.39
"592",187,"Specific Conductivity",21,134.5,98.39
"593",187,"Specific Conductivity",22,134.4,97.39
"594",187,"Specific Conductivity",23,133.7,96.39
"595",187,"Specific Conductivity",24,133.8,95.39
"596",187,"Specific Conductivity",29,133.3,90.39
"597",187,"Specific Conductivity",30,133.3,89.39
"598",187,"Specific Conductivity",31,132.8,88.39
"599",194,"Temperature",3,20.91,116.52
"600",194,"Temperature",0.1,20.99,119.42
"601",194,"Temperature",1,20.98,118.52
"602",194,"Temperature",1.9,20.95,117.62
"603",194,"Specific Conductivity",0.1,130.7,119.42
