$Gates 1  inflow constituents, , , , , , ,
289,756.0000,,,,,,
290,756.0000,,,,,,
291,756.0000,,,,,,
292,756.0000,,,,,,
293,756.0000,,,,,,
294,762.0000,,,,,,
295,762.0000,,,,,,
296,768.0000,,,,,,
297,636.0000,,,,,,
298,442.8000,,,,,,
299,293.4000,,,,,,
300,391.2000,,,,,,
301,508.8000,,,,,,
302,572.4000,,,,,,
303,235.8000,,,,,,
304,229.8000,,,,,,
305,266.4000,,,,,,
306,288.0000,,,,,,
307,301.8000,,,,,,
308,313.2000,,,,,,
309,325.8000,,,,,,
310,330.6000,,,,,,
311,333.6000,,,,,,
312,336.0000,,,,,,
313,340.8000,,,,,,
314,343.2000,,,,,,
315,350.4000,,,,,,
316,363.0000,,,,,,
317,393.6000,,,,,,
318,352.2000,,,,,,
319,342.6000,,,,,,
320,330.6000,,,,,,
321,295.2000,,,,,,
322,322.2000,,,,,,
323,304.8000,,,,,,
324,295.8000,,,,,,
325,320.4000,,,,,,
326,328.8000,,,,,,
327,306.6000,,,,,,
328,345.6000,,,,,,
329,359.4000,,,,,,
330,331.8000,,,,,,
331,328.2000,,,,,,
332,333.0000,,,,,,
333,325.2000,,,,,,
334,324.0000,,,,,,
335,326.4000,,,,,,
336,328.8000,,,,,,
337,334.8000,,,,,,
338,345.0000,,,,,,
339,345.0000,,,,,,
340,355.8000,,,,,,
341,286.2000,,,,,,
342,299.4000,,,,,,
343,307.2000,,,,,,
344,495.0000,,,,,,
345,433.8000,,,,,,
346,362.4000,,,,,,
347,496.8000,,,,,,
348,364.2000,,,,,,
349,347.4000,,,,,,
350,337.8000,,,,,,
351,339.0000,,,,,,
352,337.8000,,,,,,
353,334.2000,,,,,,
354,330.0000,,,,,,
355,350.4000,,,,,,
357,624.0000,,,,,,
358,1518.0000,,,,,,
359,894.0000,,,,,,
360,870.0000,,,,,,
361,756.0000,,,,,,
362,479.4000,,,,,,
363,429.0000,,,,,,
364,406.2000,,,,,,
365,401.4000,,,,,,
