$Gates 1  inflow constituents, , , , , ,
FROM: Trib WQ, R (DCR), , , , , 
310,379.8,,,,,
311,456,,,,,
312,522,,,,,
313,510,,,,,
314,372,,,,,
315,489.6,,,,,
316,528.6,,,,,
317,342.6,,,,,
318,445.2,,,,,
319,518.4,,,,,
320,720,,,,,
321,564.6,,,,,
322,554.4,,,,,
323,624,,,,,
324,1098,,,,,
325,690,,,,,
326,678,,,,,
327,696,,,,,
328,666,,,,,
329,648,,,,,
330,553.2,,,,,
331,424.2,,,,,
332,502.8,,,,,
333,550.2,,,,,
334,577.2,,,,,
335,586.2,,,,,
336,513,,,,,
337,531,,,,,
338,565.8,,,,,
339,597,,,,,
340,600,,,,,
341,612,,,,,
342,630,,,,,
343,642,,,,,
344,642,,,,,
345,654,,,,,
346,648,,,,,
347,660,,,,,
348,648,,,,,
349,630,,,,,
350,600,,,,,
351,576.6,,,,,
352,624,,,,,
353,648,,,,,
354,642,,,,,
355,467.4,,,,,
356,439.8,,,,,
357,534,,,,,
358,564,,,,,
359,579.6,,,,,
360,598.8,,,,,
361,600,,,,,
362,738,,,,,
363,564,,,,,
364,593.4,,,,,
365,648,,,,,
