$Weekly temp data for Stillwater (sb),
3549,14.6214285714286
3550,14.5571428571429
3554,14.3
3555,14.45
3569,16.55
3570,16.7
3576,12.4571428571429
3584,6.8
3598,8.5
3610,3.2
3611,3.27857142857143
3624,4.3
3638,1.9
3639,1
3652,1.1625
