$Precipitation Constituents - Average of Lexington and Quabbin,
2774.5,5.94
2781.5,5.04
2788.5,2.52
2795.5,3.09
2802.5,3.66
2809.5,4.23
2816.5,4.8
2823,10.68
2830,2.94
2837.5,2.4
2844.5,2.28
2851.5,2.16
2858.5,2.1
2865.5,5.52
2873,2.76
2880,6.12
2887,2.82
2894,3.06
2900.5,3.72
2907.5,3.66
2914.5,3.06
2922,3.06
2923,5.18307692307692
2928,5.09076923076923
2934,4.98
2942,3.18
2949,4.86
2956,9
2963,3.6
2970,3.09
2977,2.58
2984,5.32615384615385
2990,7.68
2998,1.38
3005,4.08
3013,2.34
3020,3.96
3026,3.90461538461538
3033,3.84
3040,4.53
3047,5.22
3054,1.8
3061,4.68
3068,1.68
3076,2.76
3083,3.14769230769231
3089,3.48
3096,3.816
3104,4.2
3111,2.4
3118,5.52
3124,3.24
3131,3.96
3138,2.76
3145,7.68
3152,11.1
3159,2.88
3166,1.98
3173,3.72
3180,3.72
3187,3.72
3194,3.72
3201,3.48
3208,8.52
3215,5.58
3223,2.22
3230,4.2
3236,7.26
3243,4.2
3250,7.8
3257,7.8
3264,7.8
3271,7.8
3278,7.8
3285,7.8
3287,7.8
3288,5.18307692307692
3293,5.09076923076923
3299,4.98
3307,3.18
3314,4.86
3321,9
3328,3.6
3335,3.09
3342,2.58
3349,5.32615384615385
3355,7.68
3363,1.38
3370,4.08
3378,2.34
3385,3.96
3391,3.90461538461538
3398,3.84
3405,4.53
3412,5.22
3419,1.8
3426,4.68
3433,1.68
3441,2.76
3448,3.14769230769231
3454,3.48
3461,3.816
3469,4.2
3476,2.4
3483,5.52
3489,3.24
3496,3.96
3503,2.76
3510,7.68
3517,11.1
3524,2.88
3531,1.98
3538,3.72
3545,3.72
3552,3.72
3559,3.72
3566,3.48
3573,8.52
3580,5.58
3588,2.22
3595,4.2
3601,7.26
3608,4.2
3615,7.8
3622,7.8
3629,7.8
3636,7.8
3643,7.8
3650,7.8
3652,7.8
