$Gates 1  inflow constituents,
1042,394.8
1043,399.138
1044,394.664
1045,364.825
1046,367.444
1047,379.632
1048,388.426
1049,394.665
1050,398.4
1051,395.065
1052,396.776
1053,396.482
1054,398.798
1055,401.238
1056,405
1057,364.067
1058,344.448
1059,349.588
1060,356.975
1061,361.653
1062,362.861
1063,361.786
1064,313.89
1065,310.2
1066,320.56
1067,326.103
1068,327.184
1069,326.238
1070,323.538
1071,307.2
1072,243.032
1073,257.916
1074,285.977
1075,305.784
1076,318.647
1077,328.842
1078,337.963
1079,345
1080,334.446
1081,327.828
1082,322.595
1083,316.665
1084,307.912
1085,299.207
1086,268.08
1087,247.927
1088,241.35
1089,256.66
1090,267.938
1091,275.025
1092,246.728
1093,253.568
1094,268.563
1095,277.544
1096,283.032
1097,284.948
1098,291.198
1099,302.432
1100,308.331
1101,310.93
1102,312.366
1103,312.371
1104,312.465
1105,311.755
1106,312.015
1107,313.491
1108,314.472
1109,322.871
1110,330.496
1111,339.946
1112,348.645
1113,350.836
1114,360.616
1115,365.736
1116,371.888
1117,375.98
1118,382.173
1119,375.442
1120,374.346
1121,379.198
1122,344.207
1123,321.204
1124,321.979
1125,331.111
1126,337.874
1127,339.966
1128,339.495
1129,338.951
1130,338.049
1131,338.132
1132,337.074
1133,334.62
1134,333.102
1135,335.038
1136,337.083
1137,337.309
1138,339.509
1139,341.85
1140,342.153
1141,342.461
1142,342.79
1143,339.9
1144,341.248
1145,342.601
1146,345.069
1147,348.784
1148,349.026
1149,349.584
1150,348.952
1151,329.072
1152,332.962
1153,339.886
1154,342.347
1155,344.864
1156,352.706
1157,367.454
1158,373.721
1159,380.634
1160,397.53
1161,414.729
1162,427.469
1163,415.98
1164,407.683
1165,419.288
1166,428.302
1167,436.87
1168,441.372
1169,449.355
1170,459
1171,456.827
1172,453.965
1173,450.315
1174,446.706
1175,444.089
1176,441.6
1177,441.296
1178,440.044
1179,440.016
1180,438.961
1181,437.995
1182,438.466
1183,435
1184,433.92
1185,435.602
1186,435.936
1187,434.823
1188,430.858
1189,434.035
1190,434.4
1191,432.442
1192,428.966
1193,427.265
1194,423.919
1195,418.771
1196,417.369
1197,412.2
1198,410.599
1199,409.965
1200,412.129
1201,414.346
1202,413.635
1203,416.878
1204,423.6
1205,439.368
1206,472.281
1207,482.579
1208,467.166
1209,370.6
1210,387.061
1211,394.2
1212,401.298
1213,401.546
1214,412.318
1215,411.012
1216,415.783
1217,395.91
1218,376.2
1219,358.062
1220,340.889
1221,331.769
1222,322.347
1223,306.893
1224,291.433
1225,269.941
1226,234.48
1227,249.454
1228,277.488
1229,300.275
1230,314.256
1231,318.964
1232,316.8
1233,324.229
1234,340.444
1235,353.083
1236,363.506
1237,370.534
1238,360.361
1239,351.6
1240,353.895
1241,358.982
1242,361.251
1243,365.417
1244,370.498
1245,369.493
1246,343.2
1247,353.63
1248,370.726
1249,322.769
1250,294.347
1251,324.403
1252,332.318
1253,343.745
1254,354.6
1255,356.782
1256,361.201
1257,367.635
1258,374.431
1259,378.592
1260,358.96
1261,350.4
1262,362.658
1263,374.427
1264,385.014
1265,391.778
1266,395.361
1267,399
1268,397.73
1269,396.523
1270,395.385
1271,396.435
1272,383.442
1273,376.812
1274,381
1275,386.19
1276,389.731
1277,396.238
1278,400.857
1279,402.919
1280,402
1281,397.453
1282,399.384
1283,406.149
1284,405.932
1285,406.067
1286,406.614
1287,407.65
1288,408
1289,410.064
1290,408.891
1291,407.045
1292,405.895
1293,405.468
1294,410.413
1295,408.6
1296,402.088
1297,393.416
1298,401.223
1299,407.204
1300,406.059
1301,397.789
1302,403.8
1303,416.27
1304,398.304
1305,373.613
1306,383.646
1307,419.667
1308,432.822
1309,420.6
1310,422.261
1311,427.846
1312,420.015
1313,410.677
1314,406.842
1315,408.51
1316,412.2
1317,390.177
1318,313.933
1319,248.406
1320,230.092
1321,214.169
1322,206.032
1323,169.38
1324,155.31
1325,212.866
1326,247.621
1327,298.365
1328,343.154
1329,390.043
1330,432
1331,432.349
1332,431.484
1333,426.212
1334,421.004
1335,419.804
1336,410.436
1337,411.6
1338,428.825
1339,445.753
1340,443.421
1341,415.568
1342,420.03
1343,397.29
1344,371.491
1345,380.4
1346,398.714
1347,410.397
1348,403.981
1349,419.889
1350,426.531
1351,433.8
1352,429.253
1353,417.736
1354,405.016
1355,420.9
1356,424.916
1357,408.638
1358,263.22
1359,307.277
1360,346.401
1361,378.719
1362,397.306
1363,427.611
1364,432.6
1365,436.541
1366,443.781
1367,416.951
1368,387.286
1369,407.401
1370,415.618
1371,426.6
1372,427.705
1373,426.223
1374,429.345
1375,442.728
1376,456.011
1377,451.476
1378,435.563
1379,432
1380,437.589
1381,448.581
1382,457.22
1383,452.748
1384,442.036
1385,420.143
1386,424.2
1387,434.732
1388,423.289
1389,387.971
1390,409.42
1391,428.388
1392,424.2
1393,419.605
1394,440.157
1395,452.788
1396,458.587
1397,463.915
1398,374.926
1399,326.146
1400,347.582
1401,366.67
1402,381.6
1403,392.353
1404,402.459
1405,407.052
1406,412.2
1407,417.373
1408,409.909
1409,401.808
1410,407.899
1411,412.536
1412,417.436
1413,416.282
1414,415.2
1415,422.286
1416,425.439
1417,428.679
1418,437.079
1419,439.922
1420,439.8
1421,446.521
1422,450.509
1423,453.924
1424,457.339
1425,461.345
1426,467.512
1427,471.259
1428,472.2
1429,466.476
1430,465.22
1431,464.352
1432,461.003
1433,451.359
1434,429.853
1435,430.8
1436,443.558
1437,443.913
1438,437.276
1439,433.592
1440,408.05
1441,410.36
1442,418.8
1443,449.39
1444,480.316
1445,506.573
1446,532.819
1447,554.395
1448,528.189
1449,554.4
1450,567.452
1451,534.559
1452,526.815
1453,542.203
1454,547.688
1455,552.032
1456,559.27
1457,553.375
1458,551.943
1459,557.349
1460,553.507
1461,554.4
1469,301.2
1476,304.8
1484,288.18
1485,356.55
1490,698.4
1499,280.14
1506,331.8
1513,372.6
1518,517.2
1526,365.4
1534,312
1540,433.2
1547,345.6
1553,476.4
1561,481.2
1568,481.8
1575,480.6
1582,479.4
1588,474
1596,484.2
1603,335.4
1610,249.24
1617,469.8
1624,308.4
1631,348
1638,448.2
1644,433.2
1652,470.4
1659,475.2
1666,442.8
1673,477.6
1678,481.8
1688,480
1694,478.8
1701,461.4
1709,459.6
1715,456.6
1722,478.2
1729,475.2
1736,477.6
1744,472.2
1751,476.4
1757,479.4
1763,491.4
1771,481.8
1779,493.8
1786,487.2
1791,298.8
1799,309.6
1806,484.8
1814,351.6
1826,351.6
1832,385.5429
1833,387.4286
1835,391.2
1841,322.8
1842,324.975
1849,340.2
1855,324
1861,335.4
1869,298.2
1877,801
1878,743.04
1879,685.08
1882,511.2
1891,372
1896,432
1897,426.3
1898,420.6
1904,386.4
1909,325.8
1918,298.2
1923,451.2
1924,481.8
1925,512.4
1934,507
1939,508.0909
1945,509.4
1947,505.5
1953,493.8
1960,484.8
1967,409.8
1974,290.52
1981,357
1988,413.4
1994,424.8
2004,417.6
2008,456.6
2016,418.8
2022,392.7
2023,388.35
2024,384
2030,561
2038,484.2
2043,556.2
2052,463.2
2058,534.6
2065,543
2073,534
2079,558
2087,557.4
2094,520.8
2101,320.52
2108,555.6
2114,555.6
2121,551.4
2128,531
2135,534.6
2142,535.8
2149,489.48
2155,472.8
2164,502.8
2172,465.78
2177,256.2
2191,256.2
2197,552.24
2204,657
2212,525.24
2248,319.8
2268,715.8
2290,609.6
2297,578.4
2305,577.2
2310,573
2318,567.6
2323,566.4
2331,429.6
2338,559.2
2345,529.2
2352,508.2
2359,572.4
2367,575.4
2373,311.52
2380,597.6
2388,597.6
2394,606.6
2401,606.6
2409,554.4
2415,525
2420,570.6
2430,608.4
2437,607.8
2444,602.4
2450,601.8
2457,600
2465,529.2
2472,597.6
2480,618.6
2486,615.6
2494,531
2499,619.8
2507,558
2513,619.8
2518,583.8
2528,501.6
2533,622.2
2542,535.2
2556,535.2
2557,654
2563,654
2571,644.4
2577,701.4
2583,673.2
2591,650.4
2605,874.2
2612,576
2619,635.4
2624,621
2632,567
2639,616.8
2647,608.4
2653,745.2
2660,664.2
2667,638.4
2673,625.2
2682,568.2
2690,645
2695,632.4
2702,591
2709,640.8
2716,580.2
2723,638.4
2730,627
2737,633.6
2745,642.6
2751,651.6
2758,644.4
2765,657
2771,246.48
2779,634.8
2786,525.6
2793,644.4
2801,668.4
2807,659.4
2814,668.4
2821,634.2
2828,584.4
2835,666
2844,671.4
2849,619.2
2856,680.4
2863,679.2
2870,688.2
2879,637.2
2883,654.6
2891,550.2
2898,1291.2
2905,735
2922,735
2923,782.618181818182
2927,793.2
2933,868.2
2941,948
2949,991.8
2955,949.2
2961,2472.6
2975,1047.6
2982,819
2989,814.8
2998,834
3002,792
3010,735
3016,408.12
3025,776.4
3030,775.2
3039,698.4
3045,741.6
3052,721.8
3060,705
3066,730.8
3073,678.6
3080,516.6
3087,724.2
3093,568.8
3101,612
3109,757.8
3116,669
3122,621.6
3129,727.2
3136,758.4
3144,754.8
3150,759.6
3157,747.6
3165,754.8
3173,674.4
3179,750.6
3185,745.8
3192,749.4
3199,741.6
3207,726.6
3213,751.2
3222,501.6
3228,600.6
3235,720.6
3242,700.8
3248,651.6
3255,575.4
3262,469.2
3269,798
3275,729
3287,729
3288,753.463636363636
3297,770.4
3301,820.114285714286
3305,869.828571428571
3311,944.4
3323,756
3332,747.72
3338,742.2
3351,944.4
3365,925.2
3367,931.714285714286
3379,970.8
3396,694.2
3401,699.033333333333
3414,711.6
3424,738.6
3430,754.8
3445,761.4
3458,778.8
3459,778.384615384615
3471,773.4
3485,591.96
3486,579
3505,766.2
3513,756.371428571429
3526,740.4
3540,788.4
3548,745.2
3549,739.8
3554,712.8
3555,710.325
3569,675.675
3570,673.2
3576,666.257142857143
3584,657
3585,642.814285714286
3598,458.4
3610,617.4
3611,607.157142857143
3624,474
3638,572.4
3639,602.4
3652,599.475
